filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Hoskins_1985.csv,Hoskins_1985,V1,V1_alpha_data,UNKNOWN,Hoskins1985,nn,False,Hoskins1985 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Kapner_2007.csv,Kapner_2007,V1,V1_alpha_data,UNKNOWN,Kapner2007,ee,False,Kapner2007 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/neutron_scattering.csv,neutron_scattering,V1,V1_alpha_data,UNKNOWN,neutronUNKNOWN,nn,False,neutronUNKNOWN (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Chen_2016.csv,Chen_2016,V1,V1_alpha_data,UNKNOWN,Chen2016,ee,False,Chen2016 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Colliders.csv,Colliders,V1,V1_alpha_data,UNKNOWN,CollidersUNKNOWN,ee,False,CollidersUNKNOWN (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Salumbides_antipHe_2014.csv,Salumbides_antipHe_2014,V1,V1_alpha_data,UNKNOWN,Salumbides2014,antipHe,False,Salumbides2014 (p̄-He)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Salumbides_ddmu_2014.csv,Salumbides_ddmu_2014,V1,V1_alpha_data,UNKNOWN,Salumbides2014,ddmu,False,Salumbides2014 (dd-μ)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Tan_2020.csv,Tan_2020,V1,V1_alpha_data,UNKNOWN,Tan2020,ee,False,Tan2020 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Lee_2020.csv,Lee_2020,V1,V1_alpha_data,UNKNOWN,Lee2020,nn,False,Lee2020 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Bordag_2001.csv,Bordag_2001,V1,V1_alpha_data,UNKNOWN,Bordag2001,ee,False,Bordag2001 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/V1/V1_alpha_data/Alighanbari_2020.csv,Alighanbari_2020,V1,V1_alpha_data,UNKNOWN,Alighanbari2020,ep,False,Alighanbari2020 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/eNastro_m_abs.csv,eNastro_m_abs,gpgp,lepton-nucleon,UNKNOWN,eNastroUNKNOWN,eNastro,False,eNastroUNKNOWN (e-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/3Fadeev_2022_5_m_abs_ep.csv,3Fadeev_2022_5_m_abs_ep,gpgp,lepton-nucleon,V5,Fadeev2022,ep,False,Fadeev2022 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gpgp/lepton-nucleon/Wang_2022_m_abs_en.csv,Wang_2022_m_abs_en,gpgp,lepton-nucleon,UNKNOWN,Wang2022,en,False,Wang2022 (e-n)
